grade confidence_level parsing_issue_occurred
Wrong 22.859375 1
Wrong 23.0 1
Wrong 26.546875 1
Correct 25.515625 1
Wrong 20.640625 0
Wrong 21.890625 1
Wrong 24.609375 1
Correct 25.578125 1
Wrong 25.828125 1
Wrong 25.203125 1
Correct 23.5625 1
Correct 26.203125 1
Wrong 20.15625 0
Wrong 24.171875 1
Wrong 24.796875 1
Wrong 26.28125 1
Wrong 22.375 1
Correct 26.890625 1
Wrong 20.703125 0
Wrong 23.90625 1
Wrong 25.828125 1
Correct 21.9375 0
Correct 24.796875 1
Wrong 27.796875 1
Wrong 25.109375 1
Wrong 21.140625 0
Wrong 20.734375 0
Correct 23.46875 1
Wrong 22.453125 1
Wrong 25.234375 1
Correct 23.890625 1
Wrong 21.109375 0
Correct 25.0625 1
Wrong 20.140625 0
Correct 23.03125 1
Correct 24.09375 1
Correct 25.40625 1
Wrong 25.9375 1
Correct 21.375 0
Correct 21.234375 0
Correct 20.46875 0
Wrong 25.75 1
Correct 21.1875 1
Wrong 25.859375 1
Correct 26.1875 1
Correct 23.453125 1
Correct 25.546875 1
Wrong 23.6875 1
Wrong 24.46875 1
Wrong 23.0625 1
Correct 26.5 1
Wrong 20.46875 0
Correct 18.75 0
Wrong 24.125 1
Wrong 25.6875 1
Wrong 21.75 0
Correct 27.5 1
Correct 24.390625 1
Wrong 19.25 0
Wrong 20.5625 0
Wrong 22.59375 1
Wrong 24.203125 1
Wrong 21.5625 0
Wrong 24.6875 1
Wrong 20.421875 0
Wrong 23.8125 1
Wrong 25.46875 1
Wrong 22.609375 1
Correct 24.234375 1
Correct 24.609375 1
Correct 26.109375 1
Wrong 22.453125 1
Wrong 22.890625 1
Wrong 24.734375 1
Wrong 23.734375 1
Wrong 27.046875 1
Correct 25.984375 1
Wrong 22.890625 1
Wrong 25.15625 1
Correct 25.015625 1
Wrong 23.15625 1
Wrong 21.109375 0
Correct 21.46875 1
Wrong 25.8125 1
Correct 26.0 1
Correct 27.828125 1
Wrong 24.4375 1
Wrong 22.15625 0
Wrong 21.1875 0
Correct 27.484375 1
Correct 23.0 1
Wrong 22.734375 1
Wrong 21.640625 1
Correct 25.515625 1
Wrong 22.21875 0
Wrong 21.640625 0
Wrong 23.859375 1
Wrong 27.84375 1
Correct 24.765625 1
Wrong 23.328125 1
Wrong 25.515625 1
Wrong 23.4375 1
Correct 23.6875 1
Wrong 18.484375 0
Wrong 18.65625 0
Wrong 23.5 1
Wrong 24.921875 1
Correct 22.59375 1
Correct 25.03125 1
Correct 27.484375 1
Wrong 26.3125 1
Correct 26.203125 1
Wrong 18.828125 0
Correct 25.0 1
Correct 24.34375 1
Wrong 19.671875 0
Correct 24.984375 1
Wrong 25.734375 1
Wrong 21.4375 0
Correct 27.5 1
Correct 24.484375 1
Wrong 22.046875 1
Correct 23.84375 1
Correct 22.453125 0
Wrong 25.1875 1
Correct 23.484375 1
Wrong 24.40625 1
Correct 23.84375 1
Correct 23.96875 1
