grade confidence_level
Correct 15.4375
Correct 14.3125
Wrong 19.1875
Correct 18.765625
Wrong 18.84375
Correct 13.6875
Correct 13.15625
Correct 14.1640625
Unparseable 0
Correct 12.921875
Wrong 13.8125
Correct 20.484375
Wrong 20.28125
Correct 13.5859375
Wrong 18.25
Correct 19.171875
Wrong 17.90625
Wrong 14.1328125
Correct 19.34375
Correct 14.1015625
Correct 19.640625
Correct 14.234375
Correct 19.390625
Correct 18.875
Wrong 18.90625
Correct 18.5
Wrong 12.953125
Correct 18.265625
Wrong 19.3125
Wrong 19.078125
Correct 18.109375
Correct 15.875
Wrong 18.953125
Wrong 18.5625
Wrong 19.171875
Correct 19.171875
Wrong 17.796875
Correct 18.921875
Wrong 24.0625
Wrong 18.890625
Correct 18.546875
Wrong 18.984375
Correct 18.296875
Correct 13.5078125
Wrong 18.734375
Correct 14.5
Correct 19.625
Wrong 18.5
Correct 13.0703125
Correct 14.2421875
Correct 12.6953125
Correct 14.28125
Correct 13.9375
Correct 18.734375
Unparseable 0
Wrong 18.296875
Correct 18.84375
Correct 19.203125
Wrong 18.6875
Wrong 19.28125
Wrong 18.34375
Wrong 18.671875
Wrong 18.6875
Correct 15.7578125
Correct 13.375
Wrong 18.59375
Correct 14.9765625
Wrong 17.984375
Wrong 18.96875
Wrong 18.09375
Correct 18.6875
Wrong 18.609375
Wrong 18.640625
Correct 14.4140625
Wrong 18.796875
Correct 18.609375
Correct 13.734375
Correct 12.828125
Correct 18.515625
Wrong 13.359375
Wrong 18.953125
Wrong 19.515625
Correct 13.578125
Wrong 18.03125
Correct 19.328125
Wrong 17.765625
Correct 19.40625
Correct 19.953125
Correct 15.1171875
Wrong 13.9375
Correct 12.5546875
Wrong 18.375
Correct 20.0625
Correct 15.6328125
Correct 20.34375
Wrong 17.5
Correct 13.4765625
Correct 14.4765625
Wrong 12.9140625
Wrong 19.75
Correct 14.328125
Wrong 13.703125
Correct 14.1640625
Correct 18.921875
Wrong 14.21875
Correct 18.203125
Correct 14.140625
Correct 15.0078125
Correct 13.328125
Wrong 14.640625
Correct 15.53125
Correct 19.078125
Wrong 13.34375
Correct 15.078125
Correct 18.75
Wrong 19.015625
Wrong 15.0234375
Wrong 13.0625
Wrong 19.25
Correct 14.203125
Wrong 18.75
Correct 15.0703125
Correct 14.1953125
Correct 14.359375
Correct 14.6171875
Correct 19.0625
Correct 19.78125
Correct 20.96875
Wrong 19.296875
Correct 14.359375
Wrong 19.328125
Wrong 18.859375
Wrong 13.4921875
Wrong 19.609375
Correct 15.390625
Correct 15.140625
Wrong 18.34375
Wrong 19.078125
Wrong 14.453125
Correct 19.203125
Wrong 19.171875
Correct 14.5
Correct 13.765625
Wrong 18.09375
Wrong 18.96875
Wrong 18.28125
Correct 19.203125
Wrong 19.796875
Correct 14.078125
Wrong 13.9609375
Wrong 19.828125
Wrong 13.328125
Correct 19.28125
Wrong 18.40625
Correct 13.453125
Wrong 14.40625
Correct 13.9296875
Correct 13.3828125
Correct 14.59375
Correct 19.09375
Correct 14.0234375
Correct 19.953125
Correct 19.21875
Correct 19.078125
Wrong 18.359375
Correct 18.359375
Correct 14.09375
Correct 20.109375
Wrong 13.4296875
Wrong 13.71875
Correct 18.59375
Wrong 17.96875
Wrong 18.265625
Wrong 19.40625
Correct 14.2578125
Correct 14.234375
Correct 13.40625
Correct 18.859375
Wrong 13.3828125
Unparseable 0
Correct 15.4296875
Correct 16.109375
Correct 13.875
Wrong 20.15625
Correct 20.0
Wrong 19.046875
Correct 15.2734375
Wrong 13.890625
Wrong 13.796875
Correct 13.7578125
Wrong 12.5
Correct 15.65625
Wrong 18.5625
Correct 19.15625
Wrong 19.0625
Unparseable 0
Correct 13.296875
Correct 18.921875
Correct 18.953125
Unparseable 0
Correct 13.984375
Correct 19.21875
Correct 18.296875
Wrong 18.84375
Correct 14.71875
Correct 18.71875
Wrong 19.359375
Wrong 19.15625
Correct 13.2109375
Correct 14.21875
Correct 14.125
Wrong 19.171875
Correct 18.625
Correct 18.234375
Correct 13.7421875
Correct 18.75
Wrong 14.15625
Wrong 18.6875
Wrong 19.28125
Wrong 13.3203125
Wrong 18.234375
Wrong 13.5078125
Wrong 13.265625
Correct 14.5078125
Wrong 18.84375
Correct 19.609375
Wrong 13.796875
Correct 12.0625
Correct 18.90625
Correct 21.75
Wrong 18.5
Wrong 19.296875
Wrong 19.4375
Correct 13.5859375
Correct 15.015625
Wrong 19.234375
Correct 20.234375
Wrong 20.828125
Correct 13.578125
Wrong 19.15625
Wrong 12.6875
Wrong 18.890625
Correct 18.703125
Correct 15.59375
Correct 19.90625
Wrong 18.8125
Correct 14.8828125
Correct 16.03125
Correct 13.4609375
Wrong 13.6328125
Wrong 19.265625
Wrong 13.96875
Correct 13.7578125
Correct 18.96875
Wrong 12.296875
Wrong 18.078125
Wrong 21.71875
Wrong 13.2578125
Wrong 19.34375
Correct 18.734375
Correct 19.703125
Correct 19.328125
Correct 12.90625
Wrong 18.8125
Correct 18.078125
Wrong 13.28125
Correct 18.875
Correct 16.125
Correct 15.734375
Correct 14.125
Correct 13.25
Wrong 13.828125
Wrong 14.7734375
Wrong 19.09375
Wrong 18.640625
Correct 13.40625
Correct 13.578125
Wrong 25.25
Correct 13.71875
Wrong 18.5625
Correct 18.484375
Correct 18.625
Correct 19.921875
Wrong 14.109375
Correct 19.03125
Correct 18.53125
Correct 18.625
Correct 18.125
Wrong 13.625
Correct 15.5390625
Correct 19.015625
Correct 12.625
Correct 15.0625
Wrong 13.859375
Correct 12.5078125
Correct 15.21875
Correct 13.0390625
Correct 14.34375
Correct 18.859375
Correct 19.484375
Wrong 22.734375
Wrong 19.1875
Wrong 18.6875
Correct 13.4609375
Correct 13.6015625
Wrong 14.328125
Wrong 14.484375
Correct 19.875
Correct 14.046875
Wrong 20.03125
Correct 13.6328125
Correct 18.90625
Wrong 13.21875
Wrong 18.828125
Correct 19.109375
Unparseable 0
Wrong 18.796875
Wrong 14.21875
Wrong 18.921875
Correct 15.3359375
Unparseable 0
Correct 15.3984375
Correct 14.9453125
Wrong 19.6875
Correct 18.890625
Correct 13.4453125
Wrong 18.875
Correct 18.484375
Correct 20.140625
Wrong 13.328125
Wrong 19.765625
Correct 14.625
Correct 19.546875
Correct 19.546875
Correct 14.0859375
Correct 13.9296875
Correct 19.328125
Correct 14.96875
Correct 19.28125
Correct 14.9140625
Correct 14.0703125
Wrong 13.359375
Wrong 12.3828125
Correct 18.109375
Correct 13.5078125
Correct 14.453125
Correct 19.625
Wrong 18.796875
Wrong 19.125
Correct 19.421875
Wrong 18.734375
Correct 15.53125
Correct 15.1796875
Wrong 18.546875
Wrong 18.421875
Wrong 17.65625
Correct 19.78125
Wrong 13.6484375
Correct 18.25
Wrong 18.46875
Correct 14.5
Wrong 17.578125
Wrong 18.28125
Correct 14.6484375
Wrong 18.90625
Correct 14.203125
Wrong 18.96875
Correct 18.546875
Correct 14.671875
Correct 15.8359375
Correct 18.765625
Wrong 19.25
Wrong 18.9375
Wrong 14.5234375
Correct 15.8984375
Correct 14.8984375
Wrong 19.140625
Correct 13.03125
Correct 14.0078125
Correct 13.4765625
Correct 14.375
Wrong 14.4296875
Correct 18.84375
Wrong 13.3984375
Correct 18.78125
Correct 14.3046875
Correct 18.65625
Correct 18.953125
Wrong 15.296875
Correct 19.15625
Wrong 14.1015625
Correct 18.90625
Correct 14.65625
Wrong 18.53125
Correct 13.2890625
Wrong 25.859375
Correct 14.5546875
Wrong 18.9375
Correct 19.375
Wrong 18.75
Wrong 18.421875
Wrong 19.359375
Wrong 18.078125
Wrong 23.125
Correct 15.578125
Correct 13.625
Correct 13.3125
Wrong 19.234375
Correct 19.1875
Wrong 19.0625
Wrong 18.46875
Wrong 19.25
Correct 12.859375
Wrong 18.828125
Wrong 13.546875
Correct 13.3984375
Correct 19.015625
Unparseable 0
Correct 13.7265625
Correct 14.5
Correct 18.59375
Wrong 18.953125
Correct 14.921875
Correct 14.890625
Correct 13.78125
Correct 20.265625
Wrong 13.0546875
Wrong 18.953125
Correct 19.578125
Correct 14.171875
Correct 14.0234375
Correct 18.46875
Correct 18.484375
Correct 13.4375
Wrong 18.609375
Correct 18.359375
Wrong 19.28125
Wrong 15.125
Correct 13.390625
Wrong 13.5078125
Wrong 18.90625
Wrong 19.15625
Correct 13.9765625
Correct 13.4375
Correct 19.0
Correct 18.84375
Wrong 13.53125
Wrong 18.609375
Correct 20.8125
Correct 13.828125
Correct 15.96875
Wrong 13.328125
Correct 15.75
Wrong 14.5859375
Wrong 14.265625
Wrong 20.703125
Correct 13.8125
Correct 18.921875
Correct 14.59375
Wrong 14.375
Wrong 13.7578125
Correct 13.3515625
Wrong 18.359375
