grade confidence_level
Wrong 13.9453125
Wrong 14.1328125
Wrong 14.1640625
Wrong 14.703125
Wrong 14.5234375
Wrong 14.9375
Wrong 14.8125
Wrong 14.1171875
Correct 14.234375
Wrong 19.109375
Wrong 13.828125
Correct 14.5625
Wrong 15.078125
Correct 13.953125
Wrong 16.765625
Correct 15.0625
Wrong 14.8515625
Correct 15.0234375
Correct 14.8359375
Correct 14.4140625
Wrong 14.4609375
Wrong 15.046875
Wrong 14.1875
Wrong 13.984375
Wrong 14.5234375
Wrong 14.8515625
Wrong 14.171875
Correct 14.609375
Wrong 14.890625
Wrong 14.7109375
Wrong 14.515625
Correct 14.5234375
Correct 14.4921875
Wrong 13.84375
Wrong 14.4609375
Wrong 15.078125
Wrong 14.4609375
Wrong 14.0078125
Correct 14.15625
Wrong 14.7109375
Wrong 14.765625
Correct 14.8671875
Wrong 15.0546875
Wrong 14.546875
Wrong 15.0234375
Wrong 17.109375
Wrong 13.9765625
Correct 14.6953125
Wrong 14.59375
Wrong 14.578125
Wrong 14.640625
Correct 14.90625
Wrong 13.8515625
Wrong 14.6796875
Wrong 14.609375
Wrong 14.71875
Wrong 14.0
Wrong 13.5390625
Wrong 14.328125
Wrong 14.359375
Unparseable 0
Correct 14.8046875
Wrong 14.09375
Wrong 14.65625
Wrong 14.2734375
Wrong 14.5390625
Wrong 14.5546875
Wrong 14.921875
Correct 14.6015625
Correct 13.9140625
Wrong 14.390625
Wrong 14.296875
Wrong 14.2109375
Wrong 15.015625
Correct 14.3359375
Wrong 14.34375
Correct 14.5390625
Correct 14.453125
Wrong 14.5234375
Correct 15.515625
Wrong 14.546875
Correct 13.5078125
Correct 15.234375
Wrong 14.5390625
Wrong 14.6015625
Wrong 14.734375
Wrong 14.125
Wrong 16.734375
Wrong 14.3671875
Wrong 14.234375
Wrong 14.4296875
Correct 14.625
Correct 14.609375
Wrong 13.765625
Wrong 14.625
Wrong 14.5078125
Wrong 13.9453125
Correct 14.484375
Wrong 14.4375
Wrong 14.90625
Wrong 14.4453125
Wrong 13.8828125
Wrong 14.6640625
Wrong 14.8828125
Wrong 15.109375
Correct 14.7734375
Wrong 13.96875
Wrong 13.875
Correct 14.8984375
Wrong 14.6171875
Correct 14.6015625
Correct 14.9375
Wrong 14.4453125
Correct 14.6875
Wrong 15.1171875
Wrong 14.6875
Wrong 14.7421875
Wrong 14.171875
Correct 15.4921875
Correct 14.4609375
Correct 14.53125
Wrong 14.9453125
Correct 14.109375
Wrong 14.7109375
Wrong 14.421875
Wrong 14.234375
Wrong 14.7890625
Wrong 14.6796875
Correct 14.8515625
Wrong 14.8125
Wrong 14.2265625
Wrong 14.1796875
Wrong 14.375
