grade confidence_level
Wrong 14.171875
Correct 15.375
Correct 17.25
Correct 16.578125
Wrong 13.828125
Correct 16.484375
Correct 15.140625
Wrong 17.0625
Correct 15.8984375
Wrong 13.890625
Correct 13.4453125
Correct 14.75
Correct 16.21875
Wrong 13.5859375
Wrong 14.7109375
Wrong 13.6328125
Wrong 14.0625
Wrong 15.21875
Wrong 15.03125
Wrong 17.21875
Correct 15.6171875
Correct 13.765625
Correct 16.765625
Unparseable 0
Correct 14.6640625
Unparseable 0
Correct 14.234375
Wrong 14.125
Correct 15.71875
Correct 13.8359375
Wrong 13.3125
Wrong 16.953125
Unparseable 0
Wrong 13.71875
Correct 15.6953125
Correct 16.890625
Wrong 14.296875
Wrong 15.0546875
Wrong 13.6640625
Wrong 14.9765625
Wrong 14.9609375
Unparseable 0
Wrong 14.34375
Correct 17.0625
Correct 16.640625
Unparseable 0
Wrong 13.515625
Wrong 14.78125
Wrong 22.796875
Wrong 14.1484375
Wrong 17.390625
Unparseable 0
Unparseable 0
Wrong 15.4296875
Correct 14.7578125
Wrong 17.53125
Unparseable 0
Correct 16.75
Correct 17.40625
Wrong 16.078125
Wrong 12.1875
Correct 15.2421875
Correct 16.953125
Wrong 13.5234375
Correct 16.53125
Wrong 12.796875
Wrong 15.6875
Wrong 13.8203125
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 16.765625
Correct 17.3125
Correct 17.34375
Correct 17.453125
Correct 16.921875
Wrong 14.0625
Wrong 13.9453125
Correct 13.625
Unparseable 0
Wrong 15.8046875
Correct 16.625
Wrong 17.75
Wrong 23.0
Correct 16.359375
Wrong 15.328125
Unparseable 0
Wrong 13.9375
Unparseable 0
Correct 16.984375
Wrong 13.640625
Correct 15.515625
Correct 15.2421875
Wrong 14.171875
Correct 16.984375
Wrong 15.625
Wrong 16.546875
Wrong 16.65625
Unparseable 0
Correct 16.71875
Unparseable 0
Correct 13.2421875
Correct 13.921875
Correct 14.7421875
Correct 18.296875
Wrong 14.1015625
Unparseable 0
Correct 14.15625
Wrong 15.765625
Wrong 14.3046875
Unparseable 0
Wrong 13.984375
Correct 15.5390625
Correct 13.4375
Wrong 16.671875
Unparseable 0
Unparseable 0
Wrong 14.515625
Unparseable 0
Correct 17.796875
Correct 17.984375
Wrong 14.203125
Wrong 16.390625
Correct 17.734375
Wrong 15.5078125
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 14.0234375
Wrong 16.046875
Unparseable 0
Correct 13.421875
Unparseable 0
Unparseable 0
Wrong 16.5625
Wrong 13.8984375
Unparseable 0
Correct 17.15625
Wrong 13.5
Unparseable 0
Correct 16.859375
Wrong 17.40625
Correct 13.5546875
Unparseable 0
Wrong 14.8515625
Correct 15.9609375
Wrong 14.3984375
Wrong 17.546875
Wrong 13.4453125
Correct 17.671875
Wrong 12.359375
Correct 16.890625
Wrong 17.59375
Correct 16.203125
Wrong 15.90625
Wrong 13.921875
Unparseable 0
Unparseable 0
Correct 13.96875
Wrong 14.40625
Correct 15.3046875
Unparseable 0
Wrong 13.9453125
Correct 14.1640625
Correct 15.390625
Correct 17.359375
Wrong 13.6875
Wrong 13.765625
Correct 18.546875
Wrong 13.6796875
Wrong 14.1640625
Correct 13.5546875
Unparseable 0
Correct 17.65625
Wrong 13.984375
Unparseable 0
Unparseable 0
Wrong 14.0390625
Wrong 16.484375
Correct 17.328125
Correct 13.8125
Wrong 14.0
Wrong 17.125
Correct 17.109375
Unparseable 0
Wrong 14.0390625
Correct 17.46875
Unparseable 0
Wrong 15.765625
Wrong 17.5
Wrong 17.640625
Wrong 15.4375
Wrong 14.4609375
Correct 14.8203125
Correct 15.7890625
Unparseable 0
Wrong 16.25
Unparseable 0
Wrong 14.234375
Correct 14.0859375
Unparseable 0
Correct 17.09375
Wrong 14.09375
Correct 15.5625
Unparseable 0
Correct 16.65625
Correct 13.6484375
Wrong 13.75
Correct 15.25
Correct 18.734375
Correct 16.515625
Wrong 14.796875
Wrong 14.28125
Wrong 13.5
Wrong 14.359375
Wrong 17.328125
Correct 17.515625
Unparseable 0
Wrong 16.265625
Wrong 13.5859375
Unparseable 0
Wrong 13.9296875
Wrong 14.2578125
Unparseable 0
Correct 14.1171875
Correct 17.359375
Wrong 15.46875
Unparseable 0
Unparseable 0
Wrong 13.5
Correct 16.796875
Unparseable 0
Wrong 13.8203125
Wrong 16.609375
Wrong 13.9921875
Wrong 13.7421875
Wrong 13.890625
Correct 14.7109375
Unparseable 0
Correct 17.078125
Wrong 11.671875
Correct 14.9375
Correct 15.9375
Wrong 14.203125
Correct 17.4375
Wrong 14.0546875
Correct 17.53125
Correct 14.375
Unparseable 0
Unparseable 0
Wrong 17.09375
Wrong 16.828125
Wrong 13.953125
Unparseable 0
Correct 15.859375
Wrong 15.171875
Correct 16.828125
Correct 13.8671875
Correct 17.359375
Correct 16.53125
Wrong 14.375
Correct 16.015625
Wrong 16.609375
Unparseable 0
Wrong 13.59375
Wrong 15.34375
Wrong 14.5703125
Wrong 13.8984375
Wrong 16.640625
Unparseable 0
Wrong 13.71875
Wrong 14.4296875
Wrong 16.671875
Unparseable 0
Correct 13.8046875
Unparseable 0
Correct 13.359375
Unparseable 0
Wrong 15.1796875
Wrong 14.5234375
Wrong 13.578125
Correct 16.71875
Unparseable 0
Correct 13.765625
Wrong 15.9375
Correct 17.640625
Correct 13.8515625
Correct 14.3046875
Unparseable 0
Wrong 16.71875
Unparseable 0
Correct 16.78125
Wrong 17.234375
Wrong 14.046875
Unparseable 0
Unparseable 0
Wrong 13.640625
Wrong 18.125
Unparseable 0
Wrong 13.875
Wrong 15.984375
Wrong 13.71875
Correct 16.703125
Wrong 13.765625
Wrong 14.0234375
Unparseable 0
Unparseable 0
Wrong 16.859375
Wrong 17.5
Wrong 13.8359375
Wrong 14.140625
Unparseable 0
Wrong 14.0078125
Correct 17.3125
Correct 16.375
Wrong 13.859375
Correct 19.09375
Wrong 14.1171875
Correct 16.265625
Wrong 14.109375
Wrong 15.296875
Wrong 14.1328125
Unparseable 0
Wrong 13.765625
Correct 13.796875
Unparseable 0
Correct 17.953125
Correct 16.78125
Correct 16.625
Wrong 13.515625
Unparseable 0
Wrong 13.921875
Correct 14.8984375
Wrong 14.0234375
Correct 16.609375
Wrong 13.5234375
Correct 17.078125
Wrong 12.7890625
Unparseable 0
Unparseable 0
Wrong 13.8828125
Wrong 13.6171875
Wrong 13.8828125
Wrong 15.90625
Unparseable 0
Wrong 13.859375
Unparseable 0
Correct 13.78125
Correct 16.484375
Unparseable 0
Correct 14.0234375
Wrong 13.6875
Wrong 17.4375
Correct 16.703125
Wrong 16.140625
Wrong 15.421875
Unparseable 0
Wrong 14.1953125
Wrong 14.8984375
Correct 17.0
Wrong 13.734375
Wrong 13.71875
Wrong 13.9140625
Correct 16.53125
